area_name,grain,postcode_area,quarter,avg_premium_gbp,source,source_url,source_type
West Midlands,region,,2025-Q2,909.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q2-2025/price-index-q2-2025.pdf,confused_pdf
Dorchester,town,DT,2025-Q2,496.0,confused,https://insurance-edge.net/2025/06/20/latest-car-premiums-info-from-wtw-confused-com/,press
Exeter,town,EX,2025-Q2,496.0,confused,https://insurance-edge.net/2025/06/20/latest-car-premiums-info-from-wtw-confused-com/,press
Llandrindod Wells,town,LD,2025-Q2,481.0,confused,https://insurance-edge.net/2025/06/20/latest-car-premiums-info-from-wtw-confused-com/,press
Torquay,town,TQ,2025-Q2,497.0,confused,https://insurance-edge.net/2025/06/20/latest-car-premiums-info-from-wtw-confused-com/,press
United Kingdom,national,,2025-Q3,735.0,confused,https://insurance-edge.net/2025/09/17/latest-confused-com-index-says-motor-premiums-are-falling/,press
Liverpool,postcode_area,L,2025-Q3,819.0,confused,https://insurance-edge.net/2025/09/17/latest-confused-com-index-says-motor-premiums-are-falling/,press
Warrington,postcode_area,WA,2025-Q3,678.0,confused,https://insurance-edge.net/2025/09/17/latest-confused-com-index-says-motor-premiums-are-falling/,press
West Central London,postcode_area,WC,2025-Q3,1394.0,confused,https://insurance-edge.net/2025/09/17/latest-confused-com-index-says-motor-premiums-are-falling/,press
Central & North Wales,region,,2025-Q3,514.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q3-2025/q3-2025-car-price-index-report.pdf,confused_pdf
Inner London,region,,2025-Q3,1149.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q3-2025/q3-2025-car-price-index-report.pdf,confused_pdf
Leeds / Sheffield,region,,2025-Q3,818.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q3-2025/q3-2025-car-price-index-report.pdf,confused_pdf
Manchester / Merseyside,region,,2025-Q3,859.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q3-2025/q3-2025-car-price-index-report.pdf,confused_pdf
North West,region,,2025-Q3,676.0,confused,https://insurance-edge.net/2025/09/17/latest-confused-com-index-says-motor-premiums-are-falling/,press
Northern Ireland,region,,2025-Q3,849.0,confused,https://insurance-edge.net/2025/09/17/latest-confused-com-index-says-motor-premiums-are-falling/,press
Outer London,region,,2025-Q3,939.0,confused,https://insurance-edge.net/2025/09/17/latest-confused-com-index-says-motor-premiums-are-falling/,press
Scottish Borders,region,,2025-Q3,526.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q3-2025/q3-2025-car-price-index-report.pdf,confused_pdf
South West,region,,2025-Q3,499.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q3-2025/q3-2025-car-price-index-report.pdf,confused_pdf
West Midlands,region,,2025-Q3,896.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q3-2025/q3-2025-car-price-index-report.pdf,confused_pdf
West of England and South Wales,region,,2025-Q3,573.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q3-2025/q3-2025-car-price-index-report.pdf,confused_pdf
Dorchester,town,DT,2025-Q3,481.0,confused,https://insurance-edge.net/2025/09/17/latest-confused-com-index-says-motor-premiums-are-falling/,press
Exeter,town,EX,2025-Q3,484.0,confused,https://insurance-edge.net/2025/09/17/latest-confused-com-index-says-motor-premiums-are-falling/,press
Llandrindod Wells,town,LD,2025-Q3,467.0,confused,https://insurance-edge.net/2025/09/17/latest-confused-com-index-says-motor-premiums-are-falling/,press
Torquay,town,TQ,2025-Q3,477.0,confused,https://insurance-edge.net/2025/09/17/latest-confused-com-index-says-motor-premiums-are-falling/,press
United Kingdom,national,,2025-Q4,726.0,confused,https://claimsmag.co.uk/2026/01/uk-car-insurance-premiums-continue-to-slide-with-13-annual-fall/,press
Liverpool,postcode_area,L,2025-Q4,799.0,confused,https://claimsmag.co.uk/2026/01/uk-car-insurance-premiums-continue-to-slide-with-13-annual-fall/,press
West Central London,postcode_area,WC,2025-Q4,1444.0,confused,https://claimsmag.co.uk/2026/01/uk-car-insurance-premiums-continue-to-slide-with-13-annual-fall/,press
Inner London,region,,2025-Q4,1119.0,confused,https://claimsmag.co.uk/2026/01/uk-car-insurance-premiums-continue-to-slide-with-13-annual-fall/,press
Manchester / Merseyside,region,,2025-Q4,836.0,confused,https://claimsmag.co.uk/2026/01/uk-car-insurance-premiums-continue-to-slide-with-13-annual-fall/,press
Northern Ireland,region,,2025-Q4,907.0,confused,https://claimsmag.co.uk/2026/01/uk-car-insurance-premiums-continue-to-slide-with-13-annual-fall/,press
Outer London,region,,2025-Q4,917.0,confused,https://claimsmag.co.uk/2026/01/uk-car-insurance-premiums-continue-to-slide-with-13-annual-fall/,press
West Midlands,region,,2025-Q4,875.0,confused,https://claimsmag.co.uk/2026/01/uk-car-insurance-premiums-continue-to-slide-with-13-annual-fall/,press
Bolton,town,BL,2025-Q4,858.0,confused,https://claimsmag.co.uk/2026/01/uk-car-insurance-premiums-continue-to-slide-with-13-annual-fall/,press
Dorchester,town,DT,2025-Q4,487.0,confused,https://claimsmag.co.uk/2026/01/uk-car-insurance-premiums-continue-to-slide-with-13-annual-fall/,press
Exeter,town,EX,2025-Q4,486.0,confused,https://claimsmag.co.uk/2026/01/uk-car-insurance-premiums-continue-to-slide-with-13-annual-fall/,press
Llandrindod Wells,town,LD,2025-Q4,476.0,confused,https://claimsmag.co.uk/2026/01/uk-car-insurance-premiums-continue-to-slide-with-13-annual-fall/,press
Torquay,town,TQ,2025-Q4,482.0,confused,https://claimsmag.co.uk/2026/01/uk-car-insurance-premiums-continue-to-slide-with-13-annual-fall/,press
Truro,town,TR,2025-Q4,484.0,confused,https://claimsmag.co.uk/2026/01/uk-car-insurance-premiums-continue-to-slide-with-13-annual-fall/,press
United Kingdom,national,,2026-Q1,711.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q1-2026/confused-q1-2026-car-price-index-doc.pdf,confused_pdf
Central & North Wales,region,,2026-Q1,502.0,confused,https://www.confused.com/compare-car-insurance/average-car-insurance-cost-uk,press
Central Scotland,region,,2026-Q1,698.0,confused,https://www.confused.com/compare-car-insurance/average-car-insurance-cost-uk,press
East,region,,2026-Q1,615.0,confused,https://www.confused.com/compare-car-insurance/average-car-insurance-cost-uk,press
East & North East Scotland,region,,2026-Q1,584.0,confused,https://www.confused.com/compare-car-insurance/average-car-insurance-cost-uk,press
Highlands & Islands,region,,2026-Q1,573.0,confused,https://www.confused.com/compare-car-insurance/average-car-insurance-cost-uk,press
Inner London,region,,2026-Q1,1093.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q1-2026/confused-q1-2026-car-price-index-doc.pdf,confused_pdf
Leeds / Sheffield,region,,2026-Q1,795.0,confused,https://www.confused.com/compare-car-insurance/average-car-insurance-cost-uk,press
London - Outer,region,,2026-Q1,893.0,confused,https://www.confused.com/compare-car-insurance/average-car-insurance-cost-uk,press
Manchester / Merseyside,region,,2026-Q1,804.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q1-2026/confused-q1-2026-car-price-index-doc.pdf,confused_pdf
Midlands - East,region,,2026-Q1,705.0,confused,https://www.confused.com/compare-car-insurance/average-car-insurance-cost-uk,press
Midlands - North,region,,2026-Q1,657.0,confused,https://www.confused.com/compare-car-insurance/average-car-insurance-cost-uk,press
Midlands - West,region,,2026-Q1,859.0,confused,https://www.confused.com/compare-car-insurance/average-car-insurance-cost-uk,press
North East,region,,2026-Q1,614.0,confused,https://www.confused.com/compare-car-insurance/average-car-insurance-cost-uk,press
North West,region,,2026-Q1,661.0,confused,https://www.confused.com/compare-car-insurance/average-car-insurance-cost-uk,press
North of England,region,,2026-Q1,602.0,confused,https://www.confused.com/compare-car-insurance/average-car-insurance-cost-uk,press
Northern Ireland,region,,2026-Q1,947.0,confused,https://www.confused.com/compare-car-insurance/average-car-insurance-cost-uk,press
Scottish Borders,region,,2026-Q1,523.0,confused,https://www.confused.com/compare-car-insurance/average-car-insurance-cost-uk,press
South Central England,region,,2026-Q1,683.0,confused,https://www.confused.com/compare-car-insurance/average-car-insurance-cost-uk,press
South East,region,,2026-Q1,608.0,confused,https://www.confused.com/compare-car-insurance/average-car-insurance-cost-uk,press
South Wales,region,,2026-Q1,547.0,confused,https://www.confused.com/-/media/confused/price-index/historic-price-index/price-index-q1-2026/confused-q1-2026-car-price-index-doc.pdf,confused_pdf
South West,region,,2026-Q1,492.0,confused,https://www.confused.com/compare-car-insurance/average-car-insurance-cost-uk,press
South of England,region,,2026-Q1,567.0,confused,https://www.confused.com/compare-car-insurance/average-car-insurance-cost-uk,press
West of England,region,,2026-Q1,554.0,confused,https://www.confused.com/compare-car-insurance/average-car-insurance-cost-uk,press
London,region,,2026-Q2,817.22,moneysupermarket,https://www.moneysupermarket.com/car-insurance/car-insurance-statistics/,press
Scotland,region,,2026-Q2,451.48,moneysupermarket,https://www.moneysupermarket.com/car-insurance/car-insurance-statistics/,press
Wales,region,,2026-Q2,406.95,moneysupermarket,https://www.moneysupermarket.com/car-insurance/car-insurance-statistics/,press
